date,true label: w(i+1),w(i-0),w(i-1),w(i-2),w(i-3),w(i-4),w(i-5),w(i-6),w(i-7),w(i-8),w(i-9),w(i-10),w(i-11),w(i-12),w(i-13),w(i-14),w(i-15),w(i-16),w(i-17),w(i-18),w(i-19),w(i-20),w(i-21),w(i-22),w(i-23),w(i-24),w(i-25),w(i-26),w(i-27),w(i-28),w(i-29),w(i-30),w(i-31),w(i-32),w(i-33),w(i-34),w(i-35),w(i-36),w(i-37),w(i-38),w(i-39),w(i-40),w(i-41),w(i-42),w(i-43),w(i-44),w(i-45),w(i-46),w(i-47),w(i-48),w(i-49),w(i-50),w(i-51),w(i-52),w(i-53),w(i-54),w(i-55),w(i-56),w(i-57),w(i-58),w(i-59),w(i-60),w(i-61),w(i-62),w(i-63),w(i-64),w(i-65),w(i-66),w(i-67),w(i-68),w(i-69),w(i-70),w(i-71),w(i-72),w(i-73),w(i-74),w(i-75),w(i-76),w(i-77),w(i-78),w(i-79),w(i-80),w(i-81),w(i-82),w(i-83),w(i-84),w(i-85),w(i-86),w(i-87),w(i-88),w(i-89),w(i-90),w(i-91),w(i-92),w(i-93),w(i-94),w(i-95),w(i-96),w(i-97),w(i-98),w(i-99),w(i-100),w(i-101),w(i-102),w(i-103),w(i-104),w(i-105),w(i-106),w(i-107),w(i-108),w(i-109),w(i-110),w(i-111),w(i-112),w(i-113),w(i-114),w(i-115),w(i-116),w(i-117),w(i-118),w(i-119),w(i-120),w(i-121),w(i-122),w(i-123),w(i-124),w(i-125),w(i-126),w(i-127),w(i-128),w(i-129),w(i-130),w(i-131),w(i-132),w(i-133),w(i-134),w(i-135),w(i-136),w(i-137),w(i-138),w(i-139),w(i-140),w(i-141),w(i-142),w(i-143),w(i-144),w(i-145),w(i-146),w(i-147),w(i-148),w(i-149),w(i-150)
150,1,0,4,6,4,8,0,7,4,3,6,3,2,5,5,6,5,0,3,4,4,7,3,5,3,9,2,1,4,4,1,0,2,1,0,0,5,3,1,9,2,2,6,1,5,7,0,7,4,0,6,1,7,7,1,8,7,9,1,1,3,5,7,7,2,8,2,7,0,9,9,8,6,3,0,0,4,1,6,1,2,2,6,6,0,3,1,0,1,9,6,0,1,7,1,5,6,9,0,0,6,7,0,1,6,2,9,0,3,0,1,7,8,9,0,8,4,9,2,3,7,5,4,0,4,9,0,0,6,9,8,7,0,1,4,0,3,6,4,2,2,5,2,3,5,4,1,0,3,0,2,1
151,3,1,0,4,4,4,2,6,7,4,3,6,3,6,5,5,6,3,3,3,4,4,3,3,5,3,4,6,1,4,4,1,0,2,1,6,0,5,3,4,9,2,2,6,1,5,0,0,8,4,8,6,1,7,7,1,8,7,4,1,1,9,5,5,7,2,8,2,6,6,7,7,8,4,8,0,0,4,0,6,1,2,2,6,6,0,3,1,8,1,9,6,8,1,7,1,6,6,2,0,0,6,0,0,1,6,6,9,6,3,8,1,7,8,9,0,8,4,7,6,3,7,5,4,6,4,7,0,0,6,7,9,7,0,1,4,6,3,6,4,2,2,5,2,3,5,0,1,6,7,6,6
152,4,3,1,0,4,6,4,2,5,0,4,3,6,3,2,5,5,6,3,3,3,4,0,9,3,5,9,4,2,1,4,1,1,0,2,1,0,0,9,3,1,4,2,2,0,1,5,0,0,8,4,8,6,1,0,0,1,8,9,0,1,1,3,5,5,0,2,8,2,0,0,9,9,8,0,9,0,0,4,0,6,1,2,2,6,6,0,3,1,8,1,9,6,0,1,0,6,0,6,3,0,0,6,0,0,1,6,2,3,0,3,8,1,0,8,9,0,8,4,9,2,3,3,5,4,0,4,9,0,0,6,9,9,9,0,1,4,0,3,6,4,2,2,5,2,9,5,0,5,0,3,0
153,0,4,9,1,1,4,1,4,2,6,6,4,3,6,6,6,5,5,6,3,6,3,1,3,7,9,5,3,9,6,1,6,1,1,0,2,1,6,7,5,3,1,9,2,6,6,2,5,7,0,7,1,6,6,2,7,7,2,2,7,3,1,1,9,5,5,7,2,6,2,7,9,9,9,1,4,3,0,1,4,6,6,1,2,1,6,6,6,9,1,7,1,3,6,3,1,7,1,6,6,9,0,0,6,7,6,1,0,6,9,6,9,3,1,7,1,9,1,2,4,9,6,3,7,5,4,6,4,6,0,0,1,6,5,7,6,1,4,6,9,6,4,2,6,5,2,3,5,6,1,6,9
154,7,0,5,9,1,0,9,1,9,2,6,6,5,3,5,9,5,5,5,6,3,6,3,1,5,7,9,5,3,9,5,1,6,1,8,0,8,1,6,7,6,3,1,9,2,0,6,2,5,0,0,8,1,8,6,1,7,8,8,8,7,3,1,1,9,5,5,7,8,1,2,8,6,9,9,1,5,3,0,0,1,0,6,1,2,2,6,6,0,9,8,7,1,3,6,3,1,7,1,6,6,9,0,0,8,0,0,1,6,6,9,6,9,3,1,7,8,9,0,2,2,9,6,3,5,5,5,6,0,5,0,0,6,6,5,7,0,1,5,6,9,6,9,2,6,5,2,3,5,0,1,6
155,8,7,0,4,3,1,0,4,4,4,2,6,7,4,3,4,3,5,5,5,6,3,3,3,4,0,7,3,5,8,9,5,1,6,4,1,0,2,1,6,7,5,3,1,9,2,8,6,1,5,7,0,7,4,8,6,1,7,7,2,2,7,9,1,1,9,5,5,7,2,8,2,7,6,9,9,2,4,8,0,0,4,0,6,1,2,2,6,6,0,3,1,8,1,5,6,8,1,7,1,6,6,9,0,0,3,7,0,1,6,6,9,6,3,8,1,7,2,9,0,2,4,9,6,3,7,5,4,6,4,9,0,0,6,8,5,7,0,1,4,6,3,4,4,2,8,5,2,3,5,0,5
156,7,8,9,0,4,3,1,0,4,4,4,2,6,7,4,3,4,3,8,5,5,6,3,8,3,4,5,7,3,5,7,9,8,1,6,4,1,0,8,1,6,7,5,3,1,9,2,8,6,1,5,7,0,8,4,8,6,1,7,7,8,8,7,9,1,1,9,5,5,7,8,4,3,7,6,9,9,1,4,3,0,0,4,2,6,1,9,1,6,6,0,3,1,7,1,8,6,2,1,7,1,6,6,9,0,0,8,7,2,1,6,6,9,6,3,7,1,7,8,9,0,2,4,9,6,3,3,5,4,6,4,9,0,0,6,8,8,7,0,1,4,6,3,4,4,9,8,5,9,3,5,7
157,6,7,8,9,0,4,3,1,0,4,4,4,2,0,7,4,3,4,0,8,5,5,6,3,0,3,4,5,7,3,5,3,9,8,1,6,4,1,0,2,1,6,2,5,3,1,9,2,0,6,1,5,7,0,7,4,0,6,1,7,7,2,2,7,0,1,1,9,5,5,7,7,4,2,7,6,6,8,2,4,3,0,0,4,0,6,1,2,2,6,6,0,3,1,0,1,8,6,0,1,7,6,0,6,2,0,0,6,7,0,1,6,0,9,0,3,3,1,7,6,9,0,2,4,9,0,3,7,5,4,0,4,8,0,0,6,8,8,7,0,1,4,0,3,4,4,2,0,5,2,3,5
158,4,6,7,8,8,0,4,3,1,0,4,4,4,2,0,7,4,3,4,0,8,5,5,6,3,0,3,4,5,7,3,5,3,9,8,1,6,4,1,0,2,1,6,2,5,3,1,9,2,0,6,1,5,7,0,7,4,0,2,1,7,7,2,2,7,9,1,1,9,5,5,7,7,4,2,7,6,9,9,2,4,3,0,0,4,2,6,1,2,2,6,6,0,3,1,2,1,5,6,2,1,7,1,0,6,9,0,0,6,7,2,1,6,0,9,6,3,2,1,7,2,9,0,2,4,9,0,3,7,5,4,6,4,9,0,0,6,0,5,7,0,1,4,0,3,4,4,2,0,5,2,3
159,2,4,6,7,2,8,0,4,3,1,1,4,4,4,8,5,7,4,3,4,3,8,5,5,6,3,3,3,4,5,3,3,5,3,9,2,1,6,1,1,0,2,1,6,0,5,3,1,9,2,2,6,1,5,7,0,8,4,8,6,1,7,7,9,8,7,9,1,1,9,5,5,7,2,4,2,7,7,9,9,8,4,8,0,1,4,1,6,1,2,2,6,6,0,3,1,8,1,5,6,8,1,7,1,6,6,9,0,0,3,7,8,1,6,2,9,6,3,8,1,7,8,9,0,8,4,9,2,3,7,5,4,6,4,9,0,0,6,7,5,7,0,1,4,7,3,4,4,2,2,5,2
